DMR_chr	DMR_start	DMR_end	DMR_meth.diff	gene_seqname	gene_source	DMR_feature	gene_start	gene_end	gene_score	gene_strand	DMR_frame	gene_attribute	dist_bp	Length	Blast.Type	Blast.Database	db	acc	entry_name	Hit.Description	Score	E.Value	Identities	Query.Start	Query.End	Hit.Start	Hit.End
scaffold_244	217601	217700	-79.9213570569028	scaffold_244	Gaze	mRNA	215887	217837	18.2911	-	.	GSONMT00073495001	0	951	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q90346.1	HXB1_CYPCA	RecName: Full=Homeobox protein Hox-B1 [Cyprinus carpio]	1030	3e-138	230/300 (76%)	1	897	1	298
scaffold_244	242701	242800	-81.1771679969056	scaffold_244	Gaze	mRNA	235226	243061	40.5074	-	.	GSONMT00073496001	0	1230	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	O42368.3	HXB3A_DANRE	RecName: Full=Homeobox protein Hox-B3a; Short=Hox-B3 [Danio rerio]	1426	0	340/415 (81%)	1	1218	1	413
scaffold_244	242801	242900	-85.0113737084402	scaffold_244	Gaze	mRNA	235226	243061	40.5074	-	.	GSONMT00073496001	0	1230	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	O42368.3	HXB3A_DANRE	RecName: Full=Homeobox protein Hox-B3a; Short=Hox-B3 [Danio rerio]	1426	0	340/415 (81%)	1	1218	1	413
scaffold_3179	12001	12100	-79.1154815233167	scaffold_3179	Gaze	mRNA	11741	14192	98.7062	+	.	GSONMT00038401001	0	873	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q7T3U0.1	ZAR1_XENLA	RecName: Full=Zygote arrest protein 1; AltName: Full=Oocyte-specific maternal effect factor [Xenopus laevis]	683	2e-86	145/285 (50%)	82	870	14	295
scaffold_429	527501	527600	-86.8976955805073	scaffold_429	Gaze	mRNA	527863	530275	107.165	-	.	GSONMT00054113001	263	345	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q5HZL4.1	PAF15_XENLA	RecName: Full=PCNA-associated factor; AltName: Full=PCNA-associated factor of 15 kDa; Short=PAF15; Short=p15PAF [Xenopus laevis]	282	3e-31	72/116 (62%)	1	336	1	115
scaffold_477	87001	87100	-85.0391676196455	scaffold_477	Gaze	mRNA	83984	156204	123.5932	+	.	GSONMT00023217001	0	1635	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	B5DEL1.1	KCTD5_RAT	RecName: Full=BTB/POZ domain-containing protein KCTD5 [Rattus norvegicus]	963	7e-126	183/199 (91%)	289	885	37	234
scaffold_6333	4801	4900	-86.6909561630968	scaffold_6333	Gaze	mRNA	3414	24634	14.0704	+	.	GSONMT00004484001	0	2289	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q1XH10.1	SKDA1_HUMAN	RecName: Full=SKI/DACH domain-containing protein 1; AltName: Full=Protein DLN-1 [Homo sapiens]	633	5e-69	131/223 (58%)	1	660	1	223
scaffold_673	514701	514800	-87.2138455682385	scaffold_673	Gaze	mRNA	514467	517833	41.4999	+	.	GSONMT00052579001	0	1341	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	O42368.3	HXB3A_DANRE	RecName: Full=Homeobox protein Hox-B3a; Short=Hox-B3 [Danio rerio]	1436	0	341/415 (82%)	1	1218	1	413
scaffold_71326	601	700	-75.9154475250693	scaffold_71326	Gaze	mRNA	110	1777	41.6549	-	.	GSONMT00054294001	0	1080	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	O42365.2	HXA2B_DANRE	RecName: Full=Homeobox protein Hox-A2b; Short=Hox-A2 [Danio rerio]	1199	2e-162	283/371 (76%)	1	1077	1	363
scaffold_793	18001	18100	-75.5026041466871	scaffold_793	Gaze	mRNA	17347	18597	15.3652	-	.	GSONMT00011735001	0	1047	BLASTX	Non-redundant UniProtKB/SwissProt sequences	sp	Q9PTK2.1	FOXE4_XENLA	RecName: Full=Forkhead box protein E4; Short=FoxE4; AltName: Full=Xlens1 [Xenopus laevis]	748	2e-94	195/367 (53%)	163	1044	5	365
